BirdID	FlockID	HeadUps	FlockSize	TideState	NumPecks	TotalAggression	TimeOfDay	TimeHighTide	DaysStartWinter	Temperature
345	50	6	19	High	10	1	0.28	-36	39	-0.4
346	50	5	19	High	11	0	0.29	-34	39	-0.4
347	50	2	19	High	24	1	0.29	-31	39	-0.4
348	51	2	24	High	21	1	0.3	-28	39	-0.4
349	51	3	24	High	18	1	0.3	-25	39	-0.4
350	51	2	24	High	25	0	0.31	-22	39	-0.4
464	52	6	3	High	7	0	0.63	-51	42	7.7
467	52	3	3	High	9	0	0.64	-47	42	7.7
465	53	5	6	High	6	0	0.63	-50	42	7.7
419	54	2	7	High	10	1	0.59	12	40	6.1
420	54	18	7	High	27	0	0.6	15	40	6.1
422	54	9	7	High	10	1	0.61	21	40	6.1
466	55	5	7	High	7	0	0.64	-48	42	7.7
468	55	3	7	High	9	1	0.64	-46	42	7.7
469	55	2	7	High	26	1	0.64	-45	42	7.7
470	55	4	7	High	23	0	0.64	-44	42	7.7
471	55	3	7	High	15	0	0.65	-42	42	7.7
472	55	2	7	High	17	0	0.65	-41	42	7.7
473	55	2	7	High	35	0	0.65	-40	42	7.7
474	55	2	7	High	22	0	0.66	-38	42	7.7
475	55	4	7	High	24	0	0.66	-37	42	7.7
476	55	0	7	High	9	1	0.66	-35	42	7.7
477	55	1	7	High	13	1	0.67	-32	42	7.7
478	55	6	7	High	19	0	0.67	-29	42	7.7
479	55	2	7	High	22	0	0.68	-26	42	7.7
480	55	0	7	High	16	0	0.68	-23	42	7.7
538	55	3	7	High	26	1	0.89	24	42	7.4
539	55	3	7	High	30	1	0.91	36	42	7.4
540	55	3	7	High	23	1	0.9	28	42	7.4
541	55	1	7	High	30	0	0.9	30	42	7.4
542	55	6	7	High	22	0	0.9	32	42	7.4
543	55	7	7	High	7	1	0.91	34	42	7.4
544	55	3	7	High	5	0	0.91	36	42	7.4
545	55	1	7	High	25	1	0.92	38	42	7.4
546	55	0	7	High	19	1	0.92	40	42	7.4
532	56	3	8	High	22	0	0.87	12	42	7.4
533	56	2	8	High	22	1	0.87	14	42	7.4
534	56	3	8	High	22	0	0.87	16	42	7.4
535	56	6	8	High	24	0	0.88	18	42	7.4
536	56	2	8	High	20	0	0.88	20	42	7.4
537	56	5	8	High	32	1	0.89	22	42	7.4
421	57	5	11	High	30	1	0.6	18	40	6.1
423	57	0	11	High	14	1	0.61	24	40	6.1
424	57	2	11	High	30	1	0.62	27	40	6.1
425	57	10	11	High	11	1	0.62	30	40	6.1
426	57	8	11	High	19	1	0.63	33	40	6.1
429	58	9	12	High	11	1	0.65	42	40	6.1
430	58	12	12	High	10	1	0.65	45	40	6.1
439	58	13	12	High	14	1	0.71	15	40	6.1
415	59	20	14	High	24	0	0.57	0	40	6.1
438	59	10	14	High	10	1	0.7	9	40	6.1
410	60	2	17	High	25	0	0.54	-12	40	6.1
411	60	5	17	High	5	1	0.54	-12	40	6.1
412	60	6	17	High	17	1	0.55	-9	40	6.1
413	60	16	17	High	23	0	0.56	-6	40	6.1
414	60	8	17	High	9	1	0.56	-3	40	6.1
416	60	7	17	High	9	1	0.57	3	40	6.1
417	60	10	17	High	12	1	0.58	6	40	6.1
418	61	9	18	High	19	1	0.58	9	40	6.1
431	61	4	18	High	12	1	0.66	48	40	6.1
432	61	7	18	High	17	1	0.66	51	40	6.1
433	61	6	18	High	12	0	0.67	54	40	6.1
437	61	4	18	High	23	0	0.69	6	40	6.1
427	62	6	24	High	9	1	0.64	36	40	6.1
428	62	3	24	High	6	1	0.64	39	40	6.1
434	63	12	26	High	12	0	0.68	57	40	6.1
435	63	5	26	High	4	1	0.68	0	40	6.1
436	63	8	26	High	13	0	0.69	3	40	6.1
481	64	7	10	High	17	0	0.7	-15	42	7.7
482	64	2	10	High	14	0	0.7	-15	42	7.7
483	64	4	10	High	9	1	0.7	-14	42	7.7
484	64	4	10	High	10	1	0.7	-14	42	7.7
485	64	7	10	High	17	0	0.7	-13	42	7.7
521	65	1	11	High	5	0	0.76	15	42	7.4
522	65	4	11	High	22	0	0.83	52	42	7.4
523	65	4	11	High	21	0	0.83	53	42	7.4
524	65	2	11	High	24	0	0.84	56	42	7.4
525	65	4	11	High	28	0	0.84	57	42	7.4
526	65	3	11	High	17	1	0.84	0	42	7.4
527	65	2	11	High	23	0	0.85	2	42	7.4
528	65	4	11	High	13	1	0.85	4	42	7.4
529	65	2	11	High	16	1	0.85	6	42	7.4
530	65	9	11	High	24	0	0.86	8	42	7.4
531	65	4	11	High	8	0	0.86	10	42	7.4
486	66	6	16	High	24	1	0.7	-13	42	7.7
487	66	0	16	High	17	1	0.71	-12	42	7.7
488	66	0	16	High	24	1	0.71	-12	42	7.7
489	66	2	16	High	16	1	0.71	-11	42	7.7
490	66	5	16	High	28	1	0.71	-11	42	7.7
491	66	4	16	High	26	1	0.71	-10	42	7.7
492	66	5	16	High	33	0	0.71	-10	42	7.7
493	66	3	16	High	32	0	0.71	-9	42	7.7
494	66	6	16	High	15	1	0.71	-9	42	7.7
495	66	3	16	High	17	0	0.71	-8	42	7.7
496	66	4	16	High	27	0	0.71	-8	42	7.7
497	66	1	16	High	28	0	0.72	-7	42	7.7
498	66	3	16	High	27	0	0.72	-7	42	7.7
499	66	5	16	High	15	1	0.72	-6	42	7.7
500	66	3	16	High	19	0	0.72	-6	42	7.7
501	66	4	16	High	23	0	0.72	-5	42	7.7
502	66	4	16	High	36	0	0.72	-5	42	7.7
503	66	3	16	High	17	0	0.72	-4	42	7.7
504	66	6	16	High	20	1	0.72	-4	42	7.7
505	66	4	16	High	14	1	0.72	-3	42	7.7
506	66	3	16	High	20	0	0.72	-3	42	7.7
507	66	5	16	High	25	1	0.72	-2	42	7.7
508	66	5	16	High	24	0	0.72	-2	42	7.7
509	66	4	16	High	25	0	0.73	-1	42	7.7
510	66	1	16	High	27	0	0.73	-1	42	7.7
511	66	3	16	High	15	0	0.73	0	42	7.4
512	66	6	16	High	30	0	0.73	0	42	7.4
513	66	1	16	High	22	1	0.73	1	42	7.4
514	66	2	16	High	31	1	0.73	1	42	7.4
515	66	8	16	High	20	0	0.73	2	42	7.4
516	66	5	16	High	25	0	0.73	2	42	7.4
517	66	2	16	High	22	0	0.73	3	42	7.4
518	66	7	16	High	36	0	0.73	3	42	7.4
519	66	7	16	High	25	0	0.74	4	42	7.4
520	66	1	16	High	17	0	0.74	5	42	7.4
547	67	1	39	High	6	1	0.22	30	50	8.8
548	67	1	39	High	15	0	0.23	35	50	8.8
549	67	1	39	High	6	0	0.24	40	50	8.8
587	68	9	1	High	14	0	0.27	11	67	5.2
589	68	7	1	High	12	0	0.28	14	67	5.2
591	68	2	1	High	2	0	0.28	16	67	5.2
564	69	0	2	High	24	1	0.21	-24	67	4.9
583	70	2	2	High	15	0	0.26	4	67	5.2
566	71	3	3	High	33	1	0.21	-21	67	4.9
568	71	6	3	High	17	1	0.22	-18	67	4.9
559	72	1	3	High	27	1	0.19	-31	67	4.9
561	72	3	3	High	30	0	0.2	-29	67	4.9
563	72	7	3	High	23	1	0.2	-26	67	4.9
565	72	5	3	High	18	0	0.21	-22	67	4.9
567	72	4	3	High	19	1	0.21	-20	67	4.9
577	72	8	3	High	34	0	0.24	-4	67	4.9
579	72	4	3	High	17	0	0.25	-1	67	4.9
581	72	1	3	High	27	1	0.25	1	67	5.2
585	72	3	3	High	21	0	0.27	7	67	5.2
593	72	3	3	High	15	0	0.33	43	67	5.2
595	72	1	3	High	13	0	0.34	47	67	5.2
570	73	1	4	High	17	0	0.22	-15	67	4.9
572	73	2	4	High	25	1	0.23	-12	67	4.9
574	73	7	4	High	34	0	0.24	-9	67	4.9
576	73	2	4	High	16	0	0.24	-6	67	4.9
578	73	4	4	High	37	0	0.25	-3	67	4.9
597	74	1	4	High	18	1	0.35	52	67	5.2
599	74	2	4	High	15	0	0.36	55	67	5.2
580	75	0	5	High	14	0	0.25	0	67	5.2
582	75	0	5	High	17	0	0.26	3	67	5.2
584	75	1	5	High	11	0	0.26	6	67	5.2
586	75	0	5	High	11	0	0.27	9	67	5.2
588	75	0	5	High	8	0	0.27	12	67	5.2
590	75	0	5	High	9	0	0.28	15	67	5.2
608	75	5	5	High	21	0	0.38	10	67	5.2
609	75	5	5	High	19	0	0.39	12	67	5.2
592	76	1	6	High	12	0	0.32	38	67	5.2
594	76	0	6	High	16	0	0.34	45	67	5.2
596	77	0	7	High	9	0	0.35	50	67	5.2
598	77	0	7	High	23	0	0.35	54	67	5.2
640	78	3	1	High	2	0	0.38	11	68	6.3
611	79	3	3	High	10	1	0.24	-2	68	4.6
635	79	1	3	High	14	1	0.36	1	68	5.2
636	79	2	3	High	8	0	0.36	3	68	6.3
612	80	2	4	High	20	0	0.25	-59	68	4.6
619	80	0	4	High	13	0	0.29	-38	68	5.2
620	80	3	4	High	9	0	0.29	-35	68	5.2
621	80	0	4	High	9	1	0.3	-32	68	5.2
622	80	1	4	High	14	0	0.3	-29	68	5.2
623	80	0	4	High	4	0	0.31	-26	68	5.2
624	80	4	4	High	11	0	0.32	-23	68	5.2
625	81	0	5	High	18	0	0.32	-20	68	5.2
626	81	2	5	High	8	0	0.32	-18	68	5.2
627	81	0	5	High	18	0	0.33	-16	68	5.2
628	81	2	5	High	21	1	0.33	-14	68	5.2
629	81	7	5	High	5	0	0.34	-12	68	5.2
630	81	4	5	High	1	0	0.34	-10	68	5.2
631	81	1	5	High	10	0	0.34	-8	68	5.2
632	81	2	5	High	8	0	0.35	-5	68	5.2
633	81	3	5	High	13	0	0.35	-3	68	5.2
634	81	6	5	High	4	0	0.36	-1	68	5.2
637	81	2	5	High	11	0	0.37	5	68	6.3
638	81	0	5	High	11	0	0.37	7	68	6.3
639	81	1	5	High	25	0	0.38	9	68	6.3
641	81	4	5	High	10	0	0.38	13	68	6.3
642	81	0	5	High	15	0	0.39	15	68	6.3
643	81	2	5	High	6	0	0.39	17	68	6.3
613	82	4	7	High	16	0	0.25	-56	68	5.2
610	83	6	8	High	19	1	0.24	-5	68	4.6
614	83	5	8	High	12	0	0.26	-53	68	5.2
615	83	7	8	High	11	0	0.26	-50	68	5.2
616	83	6	8	High	12	0	0.27	-47	68	5.2
617	83	1	8	High	8	0	0.28	-44	68	5.2
618	83	3	8	High	9	0	0.28	-41	68	5.2
644	84	2	31	High	18	0	0.73	26	71	3.6
645	84	1	31	High	14	1	0.74	28	71	3.6
646	84	4	31	High	18	0	0.74	30	71	3.6
647	84	2	31	High	14	1	0.74	32	71	3.6
648	84	2	31	High	5	0	0.75	34	71	3.6
649	84	0	31	High	11	0	0.75	36	71	3.6
650	84	3	31	High	24	1	0.76	38	71	3.6
651	84	3	31	High	22	1	0.76	40	71	3.6
652	84	1	31	High	17	0	0.76	42	71	3.6
653	84	3	31	High	22	1	0.77	44	71	3.6
654	84	2	31	High	13	1	0.77	46	71	3.6
655	84	0	31	High	27	1	0.77	48	71	3.6
656	84	0	31	High	26	1	0.78	50	71	3.6
657	85	2	6	High	25	0	0.16	55	81	9.7
658	85	5	6	High	8	1	0.16	57	81	9.7
659	85	3	6	High	12	0	0.17	58	81	9.7
